ts_iso,com,mac,endpoint,variant,flash
2026-05-22T11:56:03,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota_ftd,20m/dout
2026-05-22T11:56:21,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota_ftd,20m/dout
2026-05-22T11:56:25,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota_ftd,20m/dout
2026-05-22T11:57:31,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota_ftd,20m/dout
2026-05-25T12:16:12,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota,20m/dout
2026-05-25T12:16:18,COM18,10:51:db:1b:f7:b4,ami-esp32c6-f7b4,build_ota,20m/dout
2026-05-25T12:16:21,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,build_ota,20m/dout
2026-05-25T12:16:23,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,build_ota,20m/dout
2026-05-25T12:16:26,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota,20m/dout
2026-05-25T12:16:57,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota,20m/dout
2026-05-25T12:16:59,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,build_ota,20m/dout
2026-05-25T12:18:31,COM24,10:51:db:1b:f7:9c,ami-esp32c6-f79c,build_ota,20m/dout
2026-05-25T12:18:34,COM25,10:51:db:1b:f8:54,ami-esp32c6-f854,build_ota,20m/dout
2026-05-25T12:18:37,COM26,10:51:db:1b:f8:4c,ami-esp32c6-f84c,build_ota,20m/dout
2026-05-25T12:18:39,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota,20m/dout
2026-05-25T12:18:41,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,build_ota,20m/dout
2026-05-25T12:19:08,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,build_ota,20m/dout
2026-05-25T12:19:10,COM29,fc:01:2c:e3:ba:64,ami-esp32c6-ba64,build_ota,20m/dout
2026-05-25T12:19:12,COM30,10:51:db:1b:f6:d4,ami-esp32c6-f6d4,build_ota,20m/dout
2026-05-25T12:20:07,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,build_ota,20m/dout
2026-05-25T12:20:08,COM29,fc:01:2c:e3:ba:64,ami-esp32c6-ba64,build_ota,20m/dout
2026-05-25T12:20:11,COM30,10:51:db:1b:f6:d4,ami-esp32c6-f6d4,build_ota,20m/dout
2026-05-25T12:21:23,COM31,10:51:db:1b:f8:1c,ami-esp32c6-f81c,build_ota,20m/dout
2026-05-25T12:21:26,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota,20m/dout
2026-05-25T12:21:28,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,build_ota,20m/dout
2026-05-25T12:21:32,COM34,10:51:db:1c:08:fc,ami-esp32c6-08fc,build_ota,20m/dout
2026-05-25T12:21:34,COM35,10:51:db:1c:15:34,ami-esp32c6-1534,build_ota,20m/dout
2026-05-25T12:22:07,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota,20m/dout
2026-05-25T12:22:17,COM8,10:51:db:1c:15:58,ami-esp32c6-1558,build_ota,20m/dout
2026-05-25T12:24:39,COM44,10:51:db:1c:15:5c,ami-esp32c6-155c,build_ota,20m/dout
2026-05-25T12:24:43,COM43,10:51:db:1c:15:d8,ami-esp32c6-15d8,build_ota,20m/dout
2026-05-25T12:24:46,COM42,fc:01:2c:e3:c1:44,ami-esp32c6-c144,build_ota,20m/dout
2026-05-25T12:24:50,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota,20m/dout
2026-05-25T12:24:56,COM40,10:51:db:1c:09:1c,ami-esp32c6-091c,build_ota,20m/dout
2026-05-25T12:24:59,COM39,10:51:db:1b:f8:08,ami-esp32c6-f808,build_ota,20m/dout
2026-05-25T12:25:01,COM37,fc:01:2c:e3:d2:b4,ami-esp32c6-d2b4,build_ota,20m/dout
2026-05-25T12:33:56,COM40,10:51:db:1c:09:1c,ami-esp32c6-091c,build_ota,20m/dout
2026-05-25T12:35:04,COM46,58:e6:c5:18:c6:1c,ami-esp32c6-c61c,build_ota,20m/dout
2026-05-25T12:35:08,COM47,58:e6:c5:18:c6:0c,ami-esp32c6-c60c,build_ota,20m/dout
2026-05-25T12:38:20,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-25T12:38:25,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-25T12:38:30,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota_ftd,20m/dout
2026-05-25T12:38:37,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota_ftd,20m/dout
2026-05-25T12:38:41,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota_ftd,20m/dout
2026-05-25T12:39:05,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota_ftd,20m/dout
2026-05-25T17:53:15,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota,20m/dout
2026-05-26T13:56:33,COM18,10:51:db:1b:f7:b4,ami-esp32c6-f7b4,build_ota,20m/dout
2026-05-26T13:56:36,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,build_ota,20m/dout
2026-05-26T13:56:40,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,build_ota,20m/dout
2026-05-26T13:56:43,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota,20m/dout
2026-05-26T13:56:47,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota,20m/dout
2026-05-26T13:56:49,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,build_ota,20m/dout
2026-05-26T13:57:20,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota,20m/dout
2026-05-26T13:59:13,COM24,10:51:db:1b:f7:9c,ami-esp32c6-f79c,build_ota,20m/dout
2026-05-26T13:59:17,COM25,10:51:db:1b:f8:54,ami-esp32c6-f854,build_ota,20m/dout
2026-05-26T13:59:21,COM26,10:51:db:1b:f8:4c,ami-esp32c6-f84c,build_ota,20m/dout
2026-05-26T13:59:25,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota,20m/dout
2026-05-26T13:59:28,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,build_ota,20m/dout
2026-05-26T13:59:32,COM29,fc:01:2c:e3:ba:64,ami-esp32c6-ba64,build_ota,20m/dout
2026-05-26T13:59:35,COM30,10:51:db:1b:f6:d4,ami-esp32c6-f6d4,build_ota,20m/dout
2026-05-26T14:00:35,COM31,10:51:db:1b:f8:1c,ami-esp32c6-f81c,build_ota,20m/dout
2026-05-26T14:00:39,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota,20m/dout
2026-05-26T14:00:42,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,build_ota,20m/dout
2026-05-26T14:00:46,COM34,10:51:db:1c:08:fc,ami-esp32c6-08fc,build_ota,20m/dout
2026-05-26T14:00:49,COM35,10:51:db:1c:15:34,ami-esp32c6-1534,build_ota,20m/dout
2026-05-26T14:00:54,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota,20m/dout
2026-05-26T14:00:57,COM8,10:51:db:1c:15:58,ami-esp32c6-1558,build_ota,20m/dout
2026-05-26T14:02:09,COM37,fc:01:2c:e3:d2:b4,ami-esp32c6-d2b4,build_ota,20m/dout
2026-05-26T14:02:13,COM39,10:51:db:1b:f8:08,ami-esp32c6-f808,build_ota,20m/dout
2026-05-26T14:02:16,COM40,10:51:db:1c:09:1c,ami-esp32c6-091c,build_ota,20m/dout
2026-05-26T14:02:19,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota,20m/dout
2026-05-26T14:02:23,COM42,fc:01:2c:e3:c1:44,ami-esp32c6-c144,build_ota,20m/dout
2026-05-26T14:02:27,COM43,10:51:db:1c:15:d8,ami-esp32c6-15d8,build_ota,20m/dout
2026-05-26T14:02:30,COM44,10:51:db:1c:15:5c,ami-esp32c6-155c,build_ota,20m/dout
2026-05-26T14:03:25,COM46,58:e6:c5:18:c6:1c,ami-esp32c6-c61c,build_ota,20m/dout
2026-05-26T14:03:29,COM47,58:e6:c5:18:c6:0c,ami-esp32c6-c60c,build_ota,20m/dout
2026-05-26T14:04:32,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-26T14:04:37,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-26T14:04:41,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota_ftd,20m/dout
2026-05-26T14:04:45,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota_ftd,20m/dout
2026-05-26T14:04:50,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota_ftd,20m/dout
2026-05-26T14:04:54,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota_ftd,20m/dout
2026-05-26T15:02:30,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-26T15:03:03,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,build_ota_ftd,20m/dout
2026-05-26T15:03:24,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,build_ota_ftd,20m/dout
2026-05-26T15:03:46,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota_ftd,20m/dout
2026-05-26T15:04:07,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-26T15:04:29,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,build_ota_ftd,20m/dout
2026-05-26T15:10:40,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-26T15:16:19,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-26T15:19:46,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,build_ota_ftd,20m/dout
2026-05-26T15:20:07,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,build_ota_ftd,20m/dout
2026-05-26T15:20:29,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota_ftd,20m/dout
2026-05-26T15:20:50,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-26T15:21:12,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,build_ota_ftd,20m/dout
2026-05-26T15:28:31,COM24,10:51:db:1b:f7:9c,ami-esp32c6-f79c,build_ota_ftd,20m/dout
2026-05-26T15:28:53,COM25,10:51:db:1b:f8:54,ami-esp32c6-f854,build_ota_ftd,20m/dout
2026-05-26T15:29:14,COM26,10:51:db:1b:f8:4c,ami-esp32c6-f84c,build_ota_ftd,20m/dout
2026-05-26T15:29:35,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota_ftd,20m/dout
